user id, text, retweet, favorite, hashtag, create time
1008251486,!!! 원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 경산경주고령구미군위김천문경봉화상주성주안동영덕영양영주영천예천울릉울진의성청도청송,0,0,0,Nov Fri 22 01:54:31 +0000 2019,
1008251486,!!원룸이사&amp;용달이사 잘하는곳1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 거제거창김해남해마산밀양양산의령사천산청진주진해고성창녕창원통영하동함안함양합천 원룸이사,0,0,0,Nov Sat 16 01:24:38 +0000 2019,
1008251486,!!!원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 강원강릉고성동해삼척속초양구양양영월원주인제정선철원춘천태백평창화천홍천횡성 원룸이사,0,0,0,Oct Thu 03 00:54:31 +0000 2019,
1008251486,!!! 원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 대전대덕유성대구달서달성수성광주광산울산울주 원룸이사&amp;용달이사 원룸포장이,0,0,0,Aug Sun 18 00:24:34 +0000 2019,
1008251486,!!원룸이사&amp;용달이사 잘하는곳 1566-4124 원룸포장이사 오피스텔이사 소형이사 학생이사 용달화물 https://t.co/Dc2rKaV2Ri 부산 강서 금정 기장군 동래 부산진 사상 사하 수영 연제 영도 해운대 원룸이사,0,0,0,Oct Thu 24 23:54:31 +0000 2019,
1009089118738046976,RT @BTSW_official: 피아노를 치는 순간 다 잊게 돼요.Ma dimentico tutto quando inizio a suonare il piano.#BTSWORLD #BTS월드(https:,54459,0,2,Sep Sat 28 05:33:33 +0000 2019,
1009089118738046976,RT @BTSW_official: 저 혼자가 아니어서 정말 다행이었어요.Me alegra no haber sido el único#BTSWORLD #BTS월드(https://t.co/gOnNHQxWqp) ,74435,0,2,Nov Thu 07 05:33:20 +0000 2019,
1009089118738046976,RT @BTSW_official: 이 정도면... 저도 좀 괜찮아진 거겠죠?這樣看來…我有進步一點了吧？#BTSWORLD #BTS월드(https://t.co/gOnNHQxWqp) ,58104,0,2,Nov Sat 23 05:33:16 +0000 2019,
1009125119124385792,RT @spectrum_0510: [#SPECTRUM]무대 배경도 이쁘고 멤버들도 이뻤던 심플리케이팝 무대!한 번 보고 두 번 보고 세 번 보기🤙👉 https://t.co/QUOoyxnpjd#스,92,0,5,Oct Thu 31 04:54:11 +0000 2019,
1009125119124385792,RT @spectrum_0510: [#SPECTRUM]드디어!!! 스펙트럼의 마니또 무대가최초 공개되었습니다😆👉 https://t.co/QUOoyxnpjd#스펙트럼 #심플리케이팝 #마니또#애프터,82,0,5,Nov Sun 10 04:50:09 +0000 2019,
1009484423052443648,RT @GMA: 🎵Yeah you makin' me a boy with love 🎵 #BTSonGMA 💜#BTS#ARMY@bts_twthttps://t.co/q2DN59sb2f ,42337,0,3,Aug Wed 14 12:46:00 +0000 2019,
1009484423052443648,RT @GMA: #BTSonGMA is bringing the PARTY to Central Park! https://t.co/q2DN59sb2f ,5384,0,1,Aug Fri 30 12:45:50 +0000 2019,
1010075075284889600,Daniel hah.... Too many people with you... Its look cute.... ,0,0,0,Sep Sun 22 08:28:44 +0000 2019,
1010075075284889600,Daniel hah.... Too many people follow you.. Its look cutie... ,0,0,0,Aug Wed 21 08:27:46 +0000 2019,
1010384418,디자이너가 직접 만든 세상에서 하나 뿐인 악세사리- 헤어밴드 핸드폰줄 팔찌 귀거리 키걸이 등! https://t.co/YHJF8rWdOH 로 오세요! 멜,0,0,3,Sep Wed 25 10:30:35 +0000 2019,
1010384418,사랑스럽고 귀여운 귀고리를 찾으시나요?? 그렇다며 멜리로 오세요 *^-^* https://t.co/YHJF,0,0,3,Oct Sat 26 05:30:34 +0000 2019,
1010384418,기분 좋은 아침입니다^^ 유럽풍 빈티지 악세사리 아이템이 보고프다면 melly!! 멜리로 오세요 ^^ https://t.co/YHJ,0,0,3,Oct Fri 25 23:30:34 +0000 2019,
1010384418,디자이너가 직접 만든 세상에서 하나 뿐인 악세사리- 헤어밴드 핸드폰줄 팔찌 귀거리 키걸이 등! https://t.co/YHJF8rWdOH 로 오세요! 멜,0,0,3,Nov Mon 11 10:30:34 +0000 2019,
1010384418,사랑스럽고 귀여운 귀고리를 찾으시나요?? 그렇다며 멜리로 오세요 *^-^* https://t.co/YHJF,0,0,3,Aug Fri 16 05:30:34 +0000 2019,
1010384418,기분 좋은 아침입니다^^ 유럽풍 빈티지 악세사리 아이템이 보고프다면 melly!! 멜리로 오세요 ^^ https://t.co/YHJ,0,0,3,Nov Mon 25 23:30:33 +0000 2019,
1010384418,디자이너가 직접 만든 세상에서 하나 뿐인 악세사리- 헤어밴드 핸드폰줄 팔찌 귀거리 키걸이 등! https://t.co/YHJF8rWdOH 로 오세요! 멜,0,0,3,Nov Wed 27 10:30:34 +0000 2019,
1010384418,사랑스럽고 귀여운 귀고리를 찾으시나요?? 그렇다며 멜리로 오세요 *^-^* https://t.co/YHJF,0,0,3,Aug Thu 22 05:30:33 +0000 2019,
1010384418,디자이너가 직접 만든 세상에서 하나 뿐인 악세사리- 헤어밴드 핸드폰줄 팔찌 귀거리 키걸이 등! https://t.co/YHJF8rWdOH 로 오세요! 멜,0,0,3,Oct Wed 23 10:30:34 +0000 2019,
1010384418,사랑스럽고 귀여운 귀고리를 찾으시나요?? 그렇다며 멜리로 오세요 *^-^* https://t.co/YHJF,0,0,3,Sep Wed 18 05:30:33 +0000 2019,
1010384418,즐거운 한주의 시작인 월요일 멜리가 응원합니다^^*  https://t.co/YHJF8r,0,0,3,Nov Mon 25 00:30:33 +0000 2019,
1010384418,기분 좋은 아침입니다^^ 유럽풍 빈티지 악세사리 아이템이 보고프다면 melly!! 멜리로 오세요 ^^ https://t.co/YHJ,0,0,3,Oct Sat 05 23:30:33 +0000 2019,
1010384418,디자이너가 직접 만든 세상에서 하나 뿐인 악세사리- 헤어밴드 핸드폰줄 팔찌 귀거리 키걸이 등! https://t.co/YHJF8rWdOH 로 오세요! 멜,0,0,3,Nov Fri 01 10:30:34 +0000 2019,
1010384418,사랑스럽고 귀여운 귀고리를 찾으시나요?? 그렇다며 멜리로 오세요 *^-^* https://t.co/YHJF,0,0,3,Sep Tue 03 05:30:33 +0000 2019,
1010384418,디자이너가 직접 만든 세상에서 하나 뿐인 악세사리- 헤어밴드 핸드폰줄 팔찌 귀거리 키걸이 등! https://t.co/YHJF8rWdOH 로 오세요! 멜,0,0,3,Nov Sun 24 10:30:34 +0000 2019,
1010384418,사랑스럽고 귀여운 귀고리를 찾으시나요?? 그렇다며 멜리로 오세요 *^-^* https://t.co/YHJF,0,0,3,Nov Sun 03 05:30:33 +0000 2019,
1010384418,디자이너가 직접 만든 세상에서 하나 뿐인 악세사리- 헤어밴드 핸드폰줄 팔찌 귀거리 키걸이 등! https://t.co/YHJF8rWdOH 로 오세요! 멜,0,0,3,Nov Wed 06 10:30:34 +0000 2019,
1010384418,사랑스럽고 귀여운 귀고리를 찾으시나요?? 그렇다며 멜리로 오세요 *^-^* https://t.co/YHJF,0,0,3,Oct Sat 19 05:30:34 +0000 2019,
1010384418,기분 좋은 아침입니다^^ 유럽풍 빈티지 악세사리 아이템이 보고프다면 melly!! 멜리로 오세요 ^^ https://t.co/YHJ,0,0,3,Sep Wed 18 23:30:33 +0000 2019,
1010385684,유럽풍의 고급 악세사리 아이템 멜리와 함께 하세요~ ^^* https://t.co/gGVutcsOa3 #me,0,0,5,Nov Wed 27 11:00:43 +0000 2019,
1010385684,유러피언 빈티지 아이템!! 사랑하는 여자친구에게 마음을 전하세요! https://t.co/gGVutcsOa3 세상에서 하나 뿐,0,0,3,Aug Tue 13 07:00:41 +0000 2019,
1010385684,하나뿐인 커플 고리 커플 팔찌 커플 아이템! 멜리에 다 있습니다^^ https://t.,0,0,1,Oct Mon 14 05:00:42 +0000 2019,
1010385684,유러피언 빈티지 아이템을 원하신다면! https://t.co/gGVutcsOa3 와서 보시고 얘기하조!! &gt;_&lt,0,0,4,Nov Tue 26 01:00:42 +0000 2019,
